"filename", "language", "JavaScript", "CSS", "JSON", "SVG", "HTML", "comment", "blank", "total"
"/Users/adam/Desktop/Coding/Github Repositories/DMD-400-Capstone/dmd-400-capstone/counter.js", "JavaScript", 9, 0, 0, 0, 0, 0, 1, 10
"/Users/adam/Desktop/Coding/Github Repositories/DMD-400-Capstone/dmd-400-capstone/index.html", "HTML", 0, 0, 0, 0, 234, 49, 48, 331
"/Users/adam/Desktop/Coding/Github Repositories/DMD-400-Capstone/dmd-400-capstone/main.js", "JavaScript", 272, 0, 0, 0, 0, 82, 70, 424
"/Users/adam/Desktop/Coding/Github Repositories/DMD-400-Capstone/dmd-400-capstone/output.css", "CSS", 0, 2297, 0, 0, 0, 176, 658, 3131
"/Users/adam/Desktop/Coding/Github Repositories/DMD-400-Capstone/dmd-400-capstone/package-lock.json", "JSON", 0, 0, 2113, 0, 0, 0, 1, 2114
"/Users/adam/Desktop/Coding/Github Repositories/DMD-400-Capstone/dmd-400-capstone/package.json", "JSON", 0, 0, 19, 0, 0, 0, 1, 20
"/Users/adam/Desktop/Coding/Github Repositories/DMD-400-Capstone/dmd-400-capstone/public/svg/Buttons/Nav-Button--active.svg", "SVG", 0, 0, 0, 1, 0, 0, 0, 1
"/Users/adam/Desktop/Coding/Github Repositories/DMD-400-Capstone/dmd-400-capstone/public/svg/Buttons/Nav-Button.svg", "SVG", 0, 0, 0, 26, 0, 0, 1, 27
"/Users/adam/Desktop/Coding/Github Repositories/DMD-400-Capstone/dmd-400-capstone/public/svg/Capstone-Project__Down-Arrow.svg", "SVG", 0, 0, 0, 14, 0, 0, 0, 14
"/Users/adam/Desktop/Coding/Github Repositories/DMD-400-Capstone/dmd-400-capstone/public/svg/Capstone-Prooject__Menu-Button--dark.svg", "SVG", 0, 0, 0, 68, 0, 0, 8, 76
"/Users/adam/Desktop/Coding/Github Repositories/DMD-400-Capstone/dmd-400-capstone/public/svg/Capstone__Logo--alt.svg", "SVG", 0, 0, 0, 20, 0, 0, 1, 21
"/Users/adam/Desktop/Coding/Github Repositories/DMD-400-Capstone/dmd-400-capstone/public/svg/Hero__Background-Top.svg", "SVG", 0, 0, 0, 22, 0, 0, 1, 23
"/Users/adam/Desktop/Coding/Github Repositories/DMD-400-Capstone/dmd-400-capstone/public/svg/Sections/Features/Features-Icon__Automatic-Watering--v1.svg", "SVG", 0, 0, 0, 1, 0, 0, 0, 1
"/Users/adam/Desktop/Coding/Github Repositories/DMD-400-Capstone/dmd-400-capstone/public/svg/Sections/Features/Features-Icon__Automatic-Watering--v2.svg", "SVG", 0, 0, 0, 1, 0, 0, 0, 1
"/Users/adam/Desktop/Coding/Github Repositories/DMD-400-Capstone/dmd-400-capstone/public/svg/Sections/Features/Features-Icon__Automatic-Watering--v2_1.svg", "SVG", 0, 0, 0, 1, 0, 0, 0, 1
"/Users/adam/Desktop/Coding/Github Repositories/DMD-400-Capstone/dmd-400-capstone/public/svg/Sections/Features/Features-Icon__Automatic-Watering--v3.svg", "SVG", 0, 0, 0, 1, 0, 0, 0, 1
"/Users/adam/Desktop/Coding/Github Repositories/DMD-400-Capstone/dmd-400-capstone/public/svg/Sections/Features/Features-Icon__Automatic-Watering--v4.svg", "SVG", 0, 0, 0, 1, 0, 0, 0, 1
"/Users/adam/Desktop/Coding/Github Repositories/DMD-400-Capstone/dmd-400-capstone/public/svg/Symbols/broken/arrow--right.svg", "SVG", 0, 0, 0, 5, 0, 0, 1, 6
"/Users/adam/Desktop/Coding/Github Repositories/DMD-400-Capstone/dmd-400-capstone/public/svg/arrow-circle-down-svgrepo-com.svg", "SVG", 0, 0, 0, 6, 0, 1, 4, 11
"/Users/adam/Desktop/Coding/Github Repositories/DMD-400-Capstone/dmd-400-capstone/public/svg/arrow-left-svgrepo-com.svg", "SVG", 0, 0, 0, 5, 0, 1, 0, 6
"/Users/adam/Desktop/Coding/Github Repositories/DMD-400-Capstone/dmd-400-capstone/public/svg/arrow-right-svgrepo-com.svg", "SVG", 0, 0, 0, 5, 0, 0, 0, 5
"/Users/adam/Desktop/Coding/Github Repositories/DMD-400-Capstone/dmd-400-capstone/public/svg/logo--mono logo--no-text.svg", "SVG", 0, 0, 0, 60, 0, 0, 9, 69
"/Users/adam/Desktop/Coding/Github Repositories/DMD-400-Capstone/dmd-400-capstone/public/svg/logo--mono.svg", "SVG", 0, 0, 0, 77, 0, 0, 12, 89
"/Users/adam/Desktop/Coding/Github Repositories/DMD-400-Capstone/dmd-400-capstone/public/svg/logo--no-text.svg", "SVG", 0, 0, 0, 64, 0, 0, 10, 74
"/Users/adam/Desktop/Coding/Github Repositories/DMD-400-Capstone/dmd-400-capstone/public/svg/logo.svg", "SVG", 0, 0, 0, 83, 0, 0, 13, 96
"/Users/adam/Desktop/Coding/Github Repositories/DMD-400-Capstone/dmd-400-capstone/public/svg/logo__mono--inverse logo__mono--no-text.svg", "SVG", 0, 0, 0, 58, 0, 0, 9, 67
"/Users/adam/Desktop/Coding/Github Repositories/DMD-400-Capstone/dmd-400-capstone/public/svg/logo__mono--inverse.svg", "SVG", 0, 0, 0, 75, 0, 0, 12, 87
"/Users/adam/Desktop/Coding/Github Repositories/DMD-400-Capstone/dmd-400-capstone/public/vite.svg", "SVG", 0, 0, 0, 1, 0, 0, 0, 1
"/Users/adam/Desktop/Coding/Github Repositories/DMD-400-Capstone/dmd-400-capstone/style.css", "CSS", 0, 76, 0, 0, 0, 9, 15, 100
"/Users/adam/Desktop/Coding/Github Repositories/DMD-400-Capstone/dmd-400-capstone/tailwind.config.js", "JavaScript", 245, 0, 0, 0, 0, 1, 1, 247
"/Users/adam/Desktop/Coding/Github Repositories/DMD-400-Capstone/extras/theme.js", "JavaScript", 216, 0, 0, 0, 0, 0, 0, 216
"Total", "-", 742, 2373, 2132, 595, 234, 319, 876, 7271